pair_id,pair_strategy,seed,algo,cache_size,trace1,trace2,trace1_path,trace2_path,trace1_n_req,trace1_miss_ratio,trace1_throughput_mqps,trace2_n_req,trace2_miss_ratio,trace2_throughput_mqps,mix_n_req,mix_miss_ratio,mix_throughput_mqps
1,sample,20260417,s3fifo,256MB,cluster1.oracleGeneral.sample10.zst,cluster10.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster1.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster10.oracleGeneral.sample10.zst,820195910,0.000000,14.5900,13916365,0.499900,3.7700,834112275,0.008400,11.9900
3,sample,20260417,s3fifo,256MB,cluster1.oracleGeneral.sample10.zst,cluster14.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster1.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster14.oracleGeneral.sample10.zst,820195910,0.000000,14.5900,310715660,0.024200,3.9500,1130911570,0.006700,8.0200
4,sample,20260417,s3fifo,256MB,cluster1.oracleGeneral.sample10.zst,cluster17.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster1.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster17.oracleGeneral.sample10.zst,820195910,0.000000,14.5900,883047506,0.000800,8.9000,1703243416,0.000400,9.5600
2,sample,20260417,s3fifo,256MB,cluster1.oracleGeneral.sample10.zst,cluster12.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster1.oracleGeneral.sample10.zst,/mnt/cfs/oracleReuse/sample/cluster12.oracleGeneral.sample10.zst,820195910,0.000000,14.5900,264985047,0.792400,1.3400,1085180957,0.193500,4.0000
