trace,num_requests,num_objects,req_gib,obj_gib,compulsory_miss_ratio,obj_size_req,obj_size_obj,freq_mean,time_span_sec,onehit_count,onehit_ratio
tencentBlock.ns7590.oracleGeneral.zst,2207253,135260,0.0021,0.0001,0.0613,1.0,1.0,16.3186,781199,40297,0.2979
tencentBlock.ns7584.oracleGeneral.zst,19508754,3808906,0.0182,0.0035,0.1952,1.0,1.0,5.1219,781199,977751,0.2567
tencentBlock.ns7579.oracleGeneral.zst,4101571,477023,0.0038,0.0004,0.1163,1.0,1.0,8.5983,781197,109928,0.2304
tencentBlock.ns7576.oracleGeneral.zst,4749885,534044,0.0044,0.0005,0.1124,1.0,1.0,8.8942,781199,103806,0.1944
tencentBlock.ns7574.oracleGeneral.zst,2741137,140962,0.0026,0.0001,0.0514,1.0,1.0,19.4459,781196,40050,0.2841
tencentBlock.ns7569.oracleGeneral.zst,3164885,347262,0.0029,0.0003,0.1097,1.0,1.0,9.1138,781197,66390,0.1912
tencentBlock.ns7568.oracleGeneral.zst,60637391,2986055,0.0565,0.0028,0.0492,1.0,1.0,20.3069,781199,323091,0.1082
tencentBlock.ns7563.oracleGeneral.zst,3043668,114212,0.0028,0.0001,0.0375,1.0,1.0,26.6493,781199,37674,0.3299
tencentBlock.ns7559.oracleGeneral.zst,8095945,234250,0.0075,0.0002,0.0289,1.0,1.0,34.5611,781199,61258,0.2615
tencentBlock.ns7555.oracleGeneral.zst,11209797,114922,0.0104,0.0001,0.0103,1.0,1.0,97.5427,781199,7564,0.0658
tencentBlock.ns7544.oracleGeneral.zst,5266079,288065,0.0049,0.0003,0.0547,1.0,1.0,18.2809,781199,87827,0.3049
tencentBlock.ns7528.oracleGeneral.zst,5818058,563208,0.0054,0.0005,0.0968,1.0,1.0,10.3302,781198,110911,0.1969
tencentBlock.ns7519.oracleGeneral.zst,54552694,128147,0.0508,0.0001,0.0023,1.0,1.0,425.704,781198,9895,0.0772
tencentBlock.ns7510.oracleGeneral.zst,11850908,1306486,0.011,0.0012,0.1102,1.0,1.0,9.0708,186749,231078,0.1769
tencentBlock.ns7509.oracleGeneral.zst,2567124,282392,0.0024,0.0003,0.11,1.0,1.0,9.0906,359546,108005,0.3825
tencentBlock.ns7498.oracleGeneral.zst,6995740,763563,0.0065,0.0007,0.1091,1.0,1.0,9.162,781199,52949,0.0693
